business,latitude,longitude,region
NEW YORK RELIABLE LAUNDRY & CLEANERS INC.,40.76824134,-73.95494536,Upper Manhattan
OFF-BROADWAY LAUNDROMAT INC,40.79950262,-73.96756204,Upper Manhattan
"1320 2ND AVE. CLEANERS, INC.",40.76720827,-73.95951643,Upper Manhattan
"LEE'S EVERCLEAN LAUNDROMAT, INC.",40.76897135,-73.95470659,Upper Manhattan
85TH LAUNDROMAT INC.,40.78786185,-73.97752743,Upper Manhattan
"HOYAA LAUNDRY, INC.",40.78414168,-73.97263938,Upper Manhattan
CAMILA LAUNDROMAT CORP,40.86856488,-73.92150906,Upper Manhattan
"TRINH, NICK",40.81361782,-73.95645,Upper Manhattan
THANG QUAY LAM,40.77792488,-73.94862374,Upper Manhattan
"P&K LAUNDROMAT, INC.",40.78427448,-73.9775142,Upper Manhattan
JIN 75 LAUNDRY & DRY CLEANING INC,40.77048157,-73.95627603,Upper Manhattan
"LAB-MART, INC.",40.77212444,-73.94683387,Upper Manhattan
"88 LAUNDROMAT, INC.",40.79011202,-73.97507819,Upper Manhattan
95 SUPER CLEAN LAUNDRY INC.,40.78334226,-73.9470199,Upper Manhattan
"WP & M NYC, INC",40.77347304,-73.94890157,Upper Manhattan
PALACE 75 CLEANERS INC,40.7704953,-73.95631213,Upper Manhattan
MANHATTAN10021 LLC,40.77252126,-73.95722061,Upper Manhattan
"B.B. LAUNDROMAT, INC.",40.81249163,-73.94205112,Upper Manhattan
1605 INC.,40.77613445,-73.95302641,Upper Manhattan
"EXCELLENT LAUNDRY & DRY CLEANER, INC",40.76236631,-73.9588299,Upper Manhattan
JIM LEE CLEANERS LLC,40.76632819,-73.962405,Upper Manhattan
"CHOW, ALEXANDER",40.77412988,-73.95085433,Upper Manhattan
COMPLETE CARE CLEANERS INC.,40.7811872,-73.95227901,Upper Manhattan
SBM SUDS INC.,40.80278975,-73.96400982,Upper Manhattan
"PAN, CALVIN KW",40.78361279,-73.95049706,Upper Manhattan
"LIU, CHING MAY",40.78933499,-73.97382536,Upper Manhattan
QYA LAUNDROMAT INC,40.77971385,-73.94728999,Upper Manhattan
DCA LAUNDRY CORP.,40.81041555,-73.93996133,Upper Manhattan
"1995 LAUNDRY BOY, INC.",40.78333163,-73.94776738,Upper Manhattan
965 LAUNDROMAT INC.,40.80129969,-73.96506892,Upper Manhattan
"PARK, YUN K",40.77884512,-73.97616201,Upper Manhattan
SUN BEST SERVICES INC.,40.771249,-73.95349559,Upper Manhattan
OS BUBBLES LLC,40.80243138,-73.96804462,Upper Manhattan
"HUDSON VIEW CLEANERS, INC.",40.7729322,-73.98950456,Upper Manhattan
NEW YORK RELIABLE LAUNDRY & CLEANERS INC.,40.77314352,-73.94856244,Upper Manhattan
SMK LAUNDROMAT INC.,40.80385663,-73.95401101,Upper Manhattan
WASH & SCRUB LAUNDRY INC.,40.81288399,-73.94176538,Upper Manhattan
"CUCI LAUNDRY SERVICES, INC.",40.80027065,-73.96584602,Upper Manhattan
ROYAL SUTTON LAUNDROMAT CORP.,40.76176849,-73.96037526,Upper Manhattan
NYC 1 LAUNDROMAT INC,40.80728225,-73.9422471,Upper Manhattan
"GOLD BULL VEND, LLC",40.81832389,-73.94151134,Upper Manhattan
"IPANEMA LAUNDRY, INC.",40.80021041,-73.95101928,Upper Manhattan
FREDERICK DOUGLAS LAUNDROMAT LLC,40.81489598,-73.94772816,Upper Manhattan
"MALDONADO, HECTOR",40.86511439,-73.92502731,Upper Manhattan
"DUCE LAUNDROMAT, INC.",40.86666742,-73.92861574,Upper Manhattan
"80TH ST CLEANERS, INC.",40.77453534,-73.95574985,Upper Manhattan
"XTREEM KLEEN, LLC",40.79520217,-73.9695433,Upper Manhattan
"CHAN, KA-TING",40.78272715,-73.98143981,Upper Manhattan
POLY ORGANIC CORP.,40.78414842,-73.97856143,Upper Manhattan
UPTOWN LAUNDROMAT INC.,40.8287106,-73.93760332,Upper Manhattan
"DOBBINS, AKIE",40.78090586,-73.94906918,Upper Manhattan
"HWANG, KEE CHUNG",40.77149576,-73.9528239,Upper Manhattan
"BUBBLY BOB'S FAMILY LAUNDROMAT, INC.",40.80795243,-73.94905932,Upper Manhattan
SOHAIL LAUNDROMAT INC.,40.7812176,-73.98179048,Upper Manhattan
KING LAUNDROMAT MANAGEMENT LLC,40.81004421,-73.9438125,Upper Manhattan
W P & N ENTERPRISES INC,40.77347304,-73.94890157,Upper Manhattan
TW LAUNDRY INC.,40.7912203,-73.97244868,Upper Manhattan
"M. I LAUNDROMAT 78, INC.",40.77149576,-73.9528239,Upper Manhattan
"HEW, CHONG MEN",40.7916874,-73.97460811,Upper Manhattan
CRAIG'S WORLD LIMITED LIABILITY COMPANY,40.78351155,-73.97804888,Upper Manhattan
"GIM, CHIN YORK",40.76632819,-73.962405,Upper Manhattan
"BOOGALOO BUBBLES, INC.",40.86856488,-73.92150906,Upper Manhattan
JSJ LAUNDROMAT INC.,40.82202977,-73.94252335,Upper Manhattan
S & K LAUNDROMAT INC.,40.78414842,-73.97856143,Upper Manhattan
"CHEN, DE QIANG",40.77966839,-73.94997643,Upper Manhattan
7TH AVE SUDS L.L.C.,40.82083161,-73.93965205,Upper Manhattan
LIBERTY LAUNDRY INC.,40.80027065,-73.96584602,Upper Manhattan
AWESOME LAUNDRY & CLEANER INC.,40.77541096,-73.95585758,Upper Manhattan
NEW SHUMAN ENTERPRISES INC.,40.82038915,-73.94397718,Upper Manhattan
80TH LAUNDROMAT CORP.,40.78414842,-73.97856143,Upper Manhattan
1717 1ST AVE. CORP.,40.77866846,-73.94807795,Upper Manhattan
"NEIGHBORHOOD LAUNDRY & DRY CLEANERS, INC.",40.77971385,-73.94728999,Upper Manhattan
444 INC.,40.77313889,-73.95051929,Upper Manhattan
"ROYAL IMPAX USA, INC.",40.80728225,-73.9422471,Upper Manhattan
GLOBAL WASH & CLEANER CORP,40.76569846,-73.95892531,Upper Manhattan
"FINE TOUCH KLEAN, INC.",40.76957794,-73.95471701,Upper Manhattan
"JENNIFER'S LAUNDROMAT, INC.",40.8621172,-73.92506323,Upper Manhattan
103 CLEANERS INC.,40.79882477,-73.96790188,Upper Manhattan
"EXCELLENT CLEANER & LAUNDRY, CORP.",40.77496525,-73.98285729,Upper Manhattan
TLR LLC,40.80256535,-73.95094892,Upper Manhattan
AWESOME LAUNDRY & CLEANER INC.,40.77541096,-73.95585758,Upper Manhattan
"ARNETT, SARAH",40.76569846,-73.95892531,Upper Manhattan
"YORKVILLE LAUNDROMAT, INC.",40.7802009,-73.9500663,Upper Manhattan
N & N LAUNDROMAT CORP.,40.77229799,-73.9547296,Upper Manhattan
HBH LAUNDRY CORP.,40.77506622,-73.97924675,Upper Manhattan
UP ALL NIGHT LAUNDRY 2 INC,40.83015015,-73.94009167,Upper Manhattan
