business,latitude,longitude,region
"MOY, WILLIAM",40.73598224,-73.98761958,Lower Manhattan
"HONG WAH LAUNDROMAT, INC.",40.73269743,-73.99819228,Lower Manhattan
"COSMO'S LAUNDERAMA, INC.",40.72723447,-73.98556469,Lower Manhattan
NEW 62 RED STAR LAUNDROMAT INC.,40.71592662,-73.991025,Lower Manhattan
"AVENUE A LAUNDRY KING, INC.",40.72562033,-73.98386214,Lower Manhattan
NEW QUICK COIN INC.,40.74239739,-74.00058823,Lower Manhattan
"C11 CLEANERS, INC.",40.72672528,-73.97691306,Lower Manhattan
"LOUIE, BENNY GEHS",40.73473382,-73.99276529,Lower Manhattan
NOERLUND LLC,40.72136316,-73.98349519,Lower Manhattan
"EVERCLEAN LAUNDROMAT, INC.",40.73869745,-73.99790704,Lower Manhattan
LAU'S WASH & DRY INC.,40.71972226,-73.98720774,Lower Manhattan
"SZETO, FOON",40.72118859,-73.99562398,Lower Manhattan
"O'HENRY LAUNDROMAT, INC.",40.71291864,-73.99579045,Lower Manhattan
NEW TEAM CLEANERS INC.,40.72292482,-73.98279131,Lower Manhattan
A BIG SELF SERVICE LAUNDRY LLC,40.72562033,-73.98386214,Lower Manhattan
"COUTURE CLEANERS, LLC",40.73386639,-74.00850112,Lower Manhattan
BERKELY SUTTON CLEANERS CORP.,40.73374642,-73.97719929,Lower Manhattan
"COTTON WHITE LAUNDROMAT, INC.",40.73989692,-74.00075059,Lower Manhattan
"PRESTIGE LAUND-CLEAN, INC.",40.73433738,-73.98191154,Lower Manhattan
"JT CHELSEA CLEANERS, INC.",40.74419795,-73.99989534,Lower Manhattan
"DDK CLEANING, INC.",40.73973174,-73.98924276,Lower Manhattan
"TIO, ANTONIUS & PANGESTU, SUSANNA",40.74601498,-74.00021654,Lower Manhattan
"AVENUE C. LAUNDROMAT, INC.",40.72280357,-73.97980417,Lower Manhattan
NABI CLEANERS INC.,40.73570162,-73.98251016,Lower Manhattan
KIM N.Y. INC.,40.73427673,-73.98029864,Lower Manhattan
178 LAUNDROMAT INC.,40.72867907,-74.00321112,Lower Manhattan
"LIN, SONG & HUANG, BI JIN",40.71592662,-73.991025,Lower Manhattan
"CHEUNG, RUI-JUAN",40.73721409,-73.98327476,Lower Manhattan
NEW YORK RELIABLE LAUNDRY & CLEANERS INC.,40.71978235,-73.98472214,Lower Manhattan
"A G HOPE, INC.",40.73740361,-73.98417683,Lower Manhattan
THOMPSON STREET LAUNDROMAT INC.,40.72780903,-74.00020565,Lower Manhattan
"14TH STREET LAUNDROMAT, INC.",40.7310217,-73.98177894,Lower Manhattan
"MANLEY LAUNDROMAT, INC.",40.71345343,-73.98918567,Lower Manhattan
"15TH ST. BRIGHT & CLEAN, INC.",40.73999573,-74.00094185,Lower Manhattan
HUDA LAUNDROMAT INC,40.71945672,-74.00182179,Lower Manhattan
"LI & P LAUNDROMAT, INC.",40.73666081,-74.00367339,Lower Manhattan
KIM & SUNG CORP,40.73570931,-73.97924818,Lower Manhattan
NEW TEAM CLEANERS INC.,40.71892321,-73.98452032,Lower Manhattan
WONDER WASH AND DRY INC.,40.71573756,-73.99747128,Lower Manhattan
VILLAGE BLEACHERS LAUNDROMAT INC.,40.7334356,-73.99365668,Lower Manhattan
CAPITAL LAUNDRY & CLEANERS INC,40.72292482,-73.98279131,Lower Manhattan
NEW LAUNDROMAT INC.,40.71527077,-73.99308845,Lower Manhattan
ALLYSON JOY LAUNDROMAT INC,40.72980802,-73.97890003,Lower Manhattan
"CHELSEA LAUNDRY, INC.",40.74559483,-73.99327297,Lower Manhattan
"L & D LAUNDROMAT, INC.",40.71270139,-73.98940222,Lower Manhattan
1ST AVENUE LAUNDRY CENTER INC.,40.72401514,-73.98791042,Lower Manhattan
QUICK COIN FOUR INC.,40.74255106,-73.99678099,Lower Manhattan
35 ALLEN LAUNDROMAT CORP.,40.71589651,-73.99207834,Lower Manhattan
"PARK'S NY CLEANERS, INC.",40.73890601,-73.99637701,Lower Manhattan
NEW RED STAR LAUNDROMAT INC,40.71592662,-73.991025,Lower Manhattan
"KIM'S NY LAUNDROMAT, INC",40.72962448,-73.9809206,Lower Manhattan
CRYSTAL CLEANERS YE INC.,40.73553672,-73.98114624,Lower Manhattan
YEE'S CLEANERS GROUP INC.,40.72984448,-73.98364102,Lower Manhattan
"R&C 177 LAUNDRY, LLC",40.74558934,-73.99325854,Lower Manhattan
"EAST VILLAGE LAUNDERETTE, INC.",40.72348504,-73.98486921,Lower Manhattan
"YIU'S BROTHER, INC.",40.73406974,-74.00410985,Lower Manhattan
ABSOLUTE LAUNDRY & CLEANERS CORP.,40.73754862,-73.98113845,Lower Manhattan
"PHOENIX LAUNDROMAT, INC",40.73015186,-73.9834425,Lower Manhattan
"ASHOURZADEH, M., RABANIPOUR, R. & RABANIPOUR, H.",40.72401514,-73.98791042,Lower Manhattan
"SHARON'S LAUNDRY SERVICE, INC.",40.73242775,-73.98728829,Lower Manhattan
NEW CANAL LAUNDROMAT INC.,40.71527077,-73.99308845,Lower Manhattan
"PAN, KER CHUNG",40.72568124,-73.98824204,Lower Manhattan
"WASH N' GO LAUNDROMAT, LLC",40.71794983,-73.99730886,Lower Manhattan
"HERE TO CLEAN, INC.",40.72459565,-73.97847236,Lower Manhattan
"PRINCE STREET CLEANERS, INC.",40.72291775,-73.99464979,Lower Manhattan
"B LAUNDROMAT, INC.",40.72346822,-73.98239792,Lower Manhattan
BROWN BAG LAUNDRY CORP.,40.72671932,-73.99682144,Lower Manhattan
"YEE, NANCY",40.75432057,-73.99851654,Lower Manhattan
14TH ST. WASH & DRY INC.,40.72933847,-73.97782499,Lower Manhattan
SUN CLEANERS INC,40.71658956,-73.9805167,Lower Manhattan
"JEAN'S MANHATTAN CLEANERS & LAUNDROMAT, INC.",40.74592164,-74.00172868,Lower Manhattan
173 E SECOND ST LAUNDRY CORP.,40.72254631,-73.98469265,Lower Manhattan
"PARK'S NY CLEANERS, INC.",40.73947691,-73.99595838,Lower Manhattan
"DONG, LIN",40.71570149,-73.99028193,Lower Manhattan
AVENUE B BEST CLEANER INC.,40.72346822,-73.98239792,Lower Manhattan
"SPIN CITY CLEANERS, LLC",40.72756565,-73.97940946,Lower Manhattan
"ALL PURPOSE LAUNDROMAT, INC.",40.74366272,-73.99966438,Lower Manhattan
NEW WEST LAKE INC.,40.72709263,-74.00184365,Lower Manhattan
CLEANTOPIA OF NY INC.,40.72867907,-74.00321112,Lower Manhattan
FASHION LAUNDROMAT INC.,40.7371729,-73.98317373,Lower Manhattan
L & IAN LAUNDROMAT INC,40.73121518,-74.00473749,Lower Manhattan
CHIN WAI LIN & SHAN MING YANG,40.72040911,-73.99657282,Lower Manhattan
"LUCKY TWO CLEANERS, INC.",40.73461155,-73.98005318,Lower Manhattan
PLAN 233 SPARK-WASH INC.,40.74734069,-74.0007218,Lower Manhattan
"RIVINGTON LAUNDROMAT & DRY CLEANING, INC.",40.71848659,-73.98309187,Lower Manhattan
EAST 26 STREET & 2ND AVE. LAUNDROMAT INC.,40.73956576,-73.97968001,Lower Manhattan
MULBERRY LAUNDROMAT INC.,40.72040911,-73.99657282,Lower Manhattan
CHEN UP & UP LAUNDROMAT INC,40.72266725,-73.98601303,Lower Manhattan
"YOO, KWANG",40.74505156,-73.99865027,Lower Manhattan
"97 SECOND AVE. LAUNDERETTE, INC.",40.72718816,-73.98870359,Lower Manhattan
"45 GROVE ST. LAUNDROMAT, INC.",40.73282911,-74.00427214,Lower Manhattan
NEW UP & UP LAUNDROMAT INC.,40.72266725,-73.98601303,Lower Manhattan
"CITY SUPER LAUNDRY, INC.",40.72254631,-73.98469265,Lower Manhattan
KAN'S HOLDING LTD.,40.72047503,-73.99870849,Lower Manhattan
EVERGREEN LAUNDRY NY INC.,40.7310217,-73.98177894,Lower Manhattan
"JENNY YANG'S LAUNDROMAT, INC",40.72812616,-73.98291985,Lower Manhattan
"R&C 177 LAUNDRY, LLC",40.73419865,-74.00623154,Lower Manhattan
CHRISTOPHER STREET CLEANERS INC,40.73319685,-74.00549175,Lower Manhattan
"KLAPALZ, IWONA",40.72136316,-73.98349519,Lower Manhattan
"WELL MORE LAUNDROMAT, INC.",40.74366272,-73.99966438,Lower Manhattan
"C & W FORMOSA, INC.",40.74675054,-73.99741958,Lower Manhattan
"NISHI LAUNDROMAT, INC.",40.74419795,-73.99989534,Lower Manhattan
"YEUNG, KENNETH & MO, EDWIN",40.71270139,-73.98940222,Lower Manhattan
"TWO FUTURE DREAMS, INC.",40.73282911,-74.00427214,Lower Manhattan
CHOW & LAM CORP.,40.72945504,-73.98607294,Lower Manhattan
JIANG'S LAUNDRY I INC.,40.7385894,-73.98466009,Lower Manhattan
LAUNDROMAT BROOME ST. CORP.,40.7237632,-74.00382059,Lower Manhattan
MEE YEE LLC,40.71825174,-73.99685431,Lower Manhattan
121 ELIZABETH LAUNDROMAT INC.,40.7192947,-73.99550145,Lower Manhattan
"YEUNG, YIN PING",40.72780903,-74.00020565,Lower Manhattan
THOMPSON STREET LAUNDROMAT INC.,40.72950254,-73.99877326,Lower Manhattan
K.L. NEW HOPE INC.,40.73493905,-73.98599241,Lower Manhattan
ALLYSONJOY LAUNDROMAT INC,40.72980802,-73.97890003,Lower Manhattan
99 JANE LAUNDROMAT CORP.,40.73855743,-74.00366267,Lower Manhattan
"KIM, SOON HAE",40.75756825,-73.96655012,Midtown Manhattan
"CHIN, CHOW",40.75913694,-73.96233326,Midtown Manhattan
"WONG, YOKE MOY",40.75596002,-73.9672223,Midtown Manhattan
302 INC.,40.75407751,-73.96859479,Midtown Manhattan
"PARKER FAIRWAY CLEANERS, INC.",40.74942911,-73.97336103,Midtown Manhattan
PRESTIGE FIRST AVE. CLEANING CORP.,40.74569595,-73.97210661,Midtown Manhattan
"MURRAY HILL CLEANERS & LAUNDRY, INC.",40.74553522,-73.97764637,Midtown Manhattan
"MIDWAY CLEANERS, INC.",40.74767868,-73.97671091,Midtown Manhattan
"50TH STREET LAUNDRY & CLEANER, INC.",40.7546922,-73.96810362,Midtown Manhattan
11 GOODLY LAUNDROMAT INC.,40.74649512,-73.97402264,Midtown Manhattan
SYMPHONY 44 CLEANERS INC.,40.75163293,-73.97245783,Midtown Manhattan
EAST MIDTOWN LAUNDRY & CLEANER INC,40.7546922,-73.96810362,Midtown Manhattan
"GATSCH, GEOK LIAN",40.75596002,-73.9672223,Midtown Manhattan
CHANYANG CORPORATION,40.74553522,-73.97764637,Midtown Manhattan
CAMBRIDGE CLEANERS' INC.,40.74768903,-73.97378398,Midtown Manhattan
"CHEN, MIN YU",40.7546922,-73.96810362,Midtown Manhattan
"46TH STREET CLEANING & LAUNDERING, INC.",40.75215376,-73.96979036,Midtown Manhattan
WESTSIDE LAUNDROMAT CORP.,40.77946334,-73.97955229,Upper Manhattan
WASH SUPPLY LAUNDROMAT INC,40.78351155,-73.97804888,Upper Manhattan
"135TH STREET LAUNDRY CENTER, LLC",40.81454459,-73.9418687,Upper Manhattan
"S & J 21, LLC",40.79872731,-73.96325354,Upper Manhattan
"NY YOUME CLEANERS, INC.",40.77927991,-73.95300253,Upper Manhattan
DEREK'S LAUNDROMAT INC,40.80081213,-73.952525,Upper Manhattan
JHONALVI SERVICES CORP,40.76338724,-73.96702732,Upper Manhattan
"CHEN, YING HUA & LOH, CHON TUCK",40.77445514,-73.94773824,Upper Manhattan
"LEE WASH & DRY LAUNDROMAT (A), INC",40.80256535,-73.95094892,Upper Manhattan
"EVERGREEN 238/58 LAUNDRY & CLEANERS, INC.",40.78089846,-73.95099015,Upper Manhattan
TENDA 8 LAUNDROMAT INC,40.82554578,-73.94837379,Upper Manhattan
"NEW ANSONIA CLEANING, LLC",40.78057266,-73.98222395,Upper Manhattan
LAM EASTSIDE LAUNDRY INC,40.77792488,-73.94862374,Upper Manhattan
141 STREET AND LENOX LAUNDROMAT INC.,40.8176525,-73.93828206,Upper Manhattan
FREDERICK DOUGLAS LAUNDROMAT LLC,40.81489598,-73.94772816,Upper Manhattan
"GREEN LAUNDROMAT, INC.",40.82068738,-73.93684127,Upper Manhattan
NAGLE WASHRITE LLC,40.86265852,-73.92185587,Upper Manhattan
FONTANE CORP.,40.81041555,-73.93996133,Upper Manhattan
THE MAT WEST CORP.,40.7802009,-73.9500663,Upper Manhattan
BLISS CLEANERS INC.,40.78073551,-73.94866129,Upper Manhattan
"MULAN, INC.",40.78105313,-73.9533082,Upper Manhattan
POLANCO & SON LAUNDROMAT CORP.,40.8007152,-73.96552072,Upper Manhattan
138 STREET AND LENOX LAUNDROMAT INC,40.8157484,-73.93967111,Upper Manhattan
"SY, KO-FUNG",40.77891675,-73.95096995,Upper Manhattan
"SUPER 1665 LAUNDROMAT, INC.",40.77729928,-73.94907916,Upper Manhattan
"NEW WESTSIDE CLEANER, INC.",40.78547399,-73.9778099,Upper Manhattan
SUPER WASH 85 CORP.,40.77547187,-73.95041646,Upper Manhattan
L.L.I. LAUNDROMAT LTD.,40.8097918,-73.94402584,Upper Manhattan
138 STREET 98TH AVENUE LAUNDROMAT AND DRY CLEANING INC,40.81856168,-73.94505536,Upper Manhattan
TONY'S LAUNDRY LLC,40.77506622,-73.97924675,Upper Manhattan
"PARK WEST LAUNDROMAT, CORP.",40.78530014,-73.9734189,Upper Manhattan
RAHMAN ENTERPRISES LLC,40.82038915,-73.94397718,Upper Manhattan
