name,bikes,latitude,longitude
E 32 St & Park Ave,1,40.7457121,-73.98194829
E 31 St & 3 Ave,31,40.74394314,-73.97966069
W 15 St & 7 Ave,50,40.73935542,-73.99931783
E 12 St & 3 Ave,5,40.73223272,-73.98889957
8 Ave & W 33 St,42,40.751551,-73.993934
W 33 St & 7 Ave,60,40.75019995,-73.99093085
W 26 St & 8 Ave,26,40.74734825,-73.99723551
E 16 St & 5 Ave,2,40.73726186,-73.99238967
E 17 St & Broadway,10,40.73704984,-73.99009296
Henry St & Grand St,29,40.714215,-73.981346
E 20 St & Park Ave,7,40.73827428,-73.98751968
6 Ave & W 33 St,0,40.74901271,-73.98848395
E 25 St & 2 Ave,29,40.73912601,-73.97973776
9 Ave & W 22 St,0,40.7454973,-74.00197139
2 Ave & E 31 St,34,40.74290902,-73.97706058
Water - Whitehall Plaza,2,40.70255065,-74.0127234
1 Ave & E 30 St,0,40.74144387,-73.97536082
Lexington Ave & E 29 St,12,40.74311555376486,-73.98215353488922
E 23 St & 1 Ave,14,40.736502,-73.97809472
E 30 St & Park Ave S,0,40.74444921,-73.98303529
1 Ave & E 18 St,40,40.733812191966315,-73.98054420948029
Little West St & 1 Pl,20,40.70569254,-74.01677685
Grand St & Greene St,0,40.72165481,-74.00234737
E 27 St & 1 Ave,1,40.739445,-73.976806
South End Ave & Liberty St,11,40.711512,-74.015756
University Pl & E 8 St,7,40.73143724085228,-73.99490341544151
8 Ave & W 31 St,16,40.7505853470215,-73.9946848154068
Pier 40 - Hudson River Park,8,40.7277140777778,-74.01129573583603
W 27 St & 10 Ave,2,40.75018156325683,-74.00218427181244
9 Ave & W 28 St,12,40.74937024193277,-73.99923384189606
Mercer St & Bleecker St,13,40.72706363348306,-73.99662137031554
Cooper Square & Astor Pl,1,40.72951496224949,-73.99075269699097
Lafayette St & Jersey St,8,40.72430527250332,-73.99600982666016
Grand St & Elizabeth St,6,40.718822,-73.99596
Murray St & Greenwich St,19,40.714851505262516,-74.01122331619263
E 16 St & Irving Pl,19,40.735367055605394,-73.98797392845154
W Broadway & Spring Street,18,40.72494672359416,-74.00165855884552
W 15 St & 10 Ave,4,40.742753828659026,-74.00747358798981
E 2 St & Avenue A,26,40.72307749068673,-73.98583620786667
W 18 St & 9 Ave,13,40.7435337324616,-74.00367558002472
W 17 St & 9 Ave,0,40.74294891660091,-74.00413691997528
W 16 St & 8 Ave,1,40.741021509002664,-74.001384973526
North Moore St & Greenwich St,7,40.72019521437465,-74.0103006362915
Gansevoort St & Hudson St,5,40.739448201304036,-74.00507032871246
E 33 St & 1 Ave,30,40.74322681432173,-73.97449783980846
Park Pl & Church St,31,40.71334184275907,-74.00935515761375
Cliff St & Fulton St,12,40.70831794366396,-74.00504082441329
W 13 St & 5 Ave,7,40.735445,-73.99431
W 15 St & 6 Ave,18,40.738046142482766,-73.99642959237099
E 13 St & Avenue A,25,40.72966729392978,-73.98067966103554
E 11 St & Avenue B,21,40.72746420692392,-73.97950418293476
Avenue C & E 18 St,18,40.730563,-73.973984
Stanton St & Norfolk St,10,40.720747,-73.986274
6 Ave & Broome St,3,40.724308321602166,-74.00473035871983
