Industry,Business Name,Longitude,Latitude,Location
Garage,STELLMAR PARKING LLC,-73.96844056,40.76725498,"(40.76725498013537, -73.96844055824718)"
Garage,301 EAST 79 PARKING LLC,-73.95469289,40.77319276,"(40.7731927560976, -73.95469288994452)"
Garage,"LASALLE PARKING, LLC",-73.98837845,40.7296639,"(40.72966389945646, -73.98837844699989)"
Garage,MTP 57 LLC,-73.99305379,40.7710139,"(40.77101389742397, -73.99305378723928)"
Garage,"ABM INDUSTRY GROUPS, LLC",-73.96683398,40.75292422,"(40.752924221203685, -73.96683398271284)"
Garage,STELLMAR PARKING LLC,-73.96842252,40.76722753,"(40.76722752778376, -73.9684225207926)"
Garage,"CARNEGIE CAR PARK, INC.",-77.51958437,40.11238534,"(40.11238533659802, -77.51958437167269)"
Garage,SP PLUS CORPORATION,-73.93256442,40.79481318,"(40.79481318364258, -73.9325644155404)"
Garage,SP PLUS CORPORATION,,,
Garage,ONE BEEKMAN GARAGE LLC,-73.96499702,40.75258058,"(40.75258058429668, -73.96499702064426)"
Garage,"LM CHASE PARKING, LLC.",-73.96649694,40.7556524,"(40.75565240137531, -73.96649694406797)"
Garage,"NEW 12TH STREET GARAGE, LLC",-73.99249472,40.73428366,"(40.73428366340385, -73.99249472023192)"
Garage,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",-73.9743457,40.73229385,"(40.73229384830371, -73.9743456988601)"
Garage,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",-74.01588552,40.71135036,"(40.711350358344696, -74.01588551929983)"
Garage,CHAMPION BROADWAY PARKING CORP,-73.99313013,40.7308857,"(40.730885697091544, -73.99313013269732)"
Garage,"DUFORD STUDIO GARAGE COMPANY, LLC",-73.95743029,40.77773085,"(40.77773085137098, -73.95743029494066)"
Garage,SP PLUS CORPORATION,-73.9562624,40.77474963,"(40.77474962918762, -73.95626239850044)"
Garage,CHAMPION PARKING 74 LLC.,-73.98194614,40.7797684,"(40.77976840490512, -73.98194613812201)"
Garage,"LAZ PARKING NEW YORK, NEW JERSEY LLC",-73.98851437,40.77837218,"(40.77837217617517, -73.98851437395707)"
Garage,54TH & 2ND PARKING LLC,-73.96588943,40.75785076,"(40.75785076399684, -73.96588942814309)"
Garage,QUIK PARK 485 GARAGE LLC,-73.97399435,40.75424354,"(40.75424353857112, -73.97399435355865)"
Garage,"CENTRAL PARKING SYSTEM OF NEW YORK, INC.",-73.9464601,40.76550121,"(40.76550120689976, -73.9464601035681)"
Garage,QUIK PARK EAST 46TH STREET LLC,-73.96999967,40.75222243,"(40.75222243399849, -73.96999967023007)"
Garage,"CARLYLE CAR PARK, LLC",-73.96299632,40.7741454,"(40.77414540134402, -73.96299631788466)"
Garage,SP PLUS CORPORATION,-73.96078858,40.76484549,"(40.76484549169191, -73.96078857711855)"
Garage,164TH NY CORP,-73.92617845,40.86381414,"(40.86381414107794, -73.92617845317197)"
Garage,PROPARK AMERICA NEW YORK LLC,-73.96975741,40.75319401,"(40.75319401100529, -73.96975740741871)"
Garage,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",-73.97870373,40.73439173,"(40.7343917289481, -73.97870373393607)"
Garage,220 RIVERSIDE PARKING LLC,-73.98788226,40.77968958,"(40.77968958467983, -73.98788226229857)"
Garage,"WEAP HOLDINGS, LLC",-73.98519618,40.77819065,"(40.77819064507763, -73.98519618406543)"
Garage,20166 PARKING LLC,-73.96256742,40.76639686,"(40.76639686242807, -73.96256741728568)"
Garage,200 CPS MANAGEMENT LLC,-73.97944781,40.76702142,"(40.76702142171206, -73.97944780718524)"
Garage,5TH AVENUE PROPERTY & PARKING LLC,-73.94860847,40.79770616,"(40.79770616396137, -73.94860847303094)"
Garage,COLUMBUS 60TH REALTY LLC,-73.98318365,40.76937976,"(40.769379759576935, -73.98318364590243)"
Garage,420 EAST 51ST PARKING PARTNERS LLC,-73.96494204,40.75417801,"(40.75417801007669, -73.96494204046672)"
Garage,SP PLUS CORPORATION,-74.01605134,40.71093588,"(40.710935876220056, -74.0160513445338)"
Garage,SP PLUS CORPORATION,-73.97874176,40.762218,"(40.762217995255064, -73.97874176445413)"
Garage,"WINDSOR NEW PARTNERS, LLC.",-73.95558612,40.7710028,"(40.771002802037145, -73.95558612332778)"
Garage,ENTERPRISE 57 PARKING LLC,-73.99194548,40.77053075,"(40.77053075115638, -73.99194548427923)"
Garage,SBC PARKING LLC,-73.95692167,40.78257512,"(40.782575120960765, -73.9569216683334)"
Garage,132 WEST 56TH ST. GARAGE CORP.,-73.97981318,40.7645375,"(40.76453749531048, -73.97981317829316)"
Garage,SP PLUS CORPORATION,-73.98043597,40.74583765,"(40.74583765042107, -73.98043597211861)"
Garage,SP PLUS CORPORATION,-73.95695239,40.77414879,"(40.77414879137533, -73.95695239253023)"
Garage,"BATTERY PLACE CAR PARK, LLC",-74.01790412,40.70628323,"(40.70628322913576, -74.01790411531843)"
Garage,"RUPPERT CAR PARK, LLC",-73.9520441,40.7814753,"(40.78147530043751, -73.95204410072269)"
Garage,"ABM INDUSTRY GROUPS, LLC",-73.96855471,40.76251484,"(40.76251484208311, -73.96855470923397)"
Garage,"SEVEN ELEVEN CAR PARK, LLC",-73.97326601,40.7523742,"(40.75237419947105, -73.9732660072224)"
Garage,SP PLUS CORPORATION,-73.97494089,40.79030138,"(40.79030138157387, -73.9749408863875)"
Garage,SP PLUS CORPORATION,-73.9397612,40.8399486,"(40.83994859762669, -73.93976119883386)"
